repos,repo_version,option,option_count,category
mesosphere/dcos-commons,b'CASSANDRA_1.0.27-3.0.10,go,2,Build/Execute
mesosphere/dcos-commons,b'CASSANDRA_1.0.27-3.0.10,pip3,1,Dependencies
mesosphere/dcos-commons,b'CASSANDRA_1.0.27-3.0.10,install,1,Build/Execute
mesosphere/dcos-commons,b'CASSANDRA_1.0.27-3.0.10,mkdir,4,Filesystem
mesosphere/dcos-commons,b'CASSANDRA_1.0.27-3.0.10,git,1,Dependencies
mesosphere/dcos-commons,b'CASSANDRA_1.0.27-3.0.10,cd,2,Filesystem
mesosphere/dcos-commons,b'CASSANDRA_1.0.27-3.0.10,cp,1,Filesystem
mesosphere/dcos-commons,b'CASSANDRA_1.0.27-3.0.10,sed,1,Filesystem
mesosphere/dcos-commons,b'ELASTIC_1.0.10-5.3.0,curl,1,Dependencies
mesosphere/dcos-commons,b'ELASTIC_1.0.10-5.3.0,rm,2,Filesystem
mesosphere/dcos-commons,b'ELASTIC_1.0.10-5.3.0,tar,1,Filesystem
mesosphere/dcos-commons,b'ELASTIC_1.0.10-5.3.0,mv,1,Filesystem
mesosphere/dcos-commons,b'ELASTIC_1.0.10-5.3.0,go,2,Build/Execute
mesosphere/dcos-commons,b'ELASTIC_1.0.10-5.3.0,pip3,1,Dependencies
mesosphere/dcos-commons,b'ELASTIC_1.0.10-5.3.0,install,1,Build/Execute
mesosphere/dcos-commons,b'ELASTIC_1.0.10-5.3.0,mkdir,4,Filesystem
mesosphere/dcos-commons,b'ELASTIC_1.0.10-5.3.0,git,1,Dependencies
mesosphere/dcos-commons,b'ELASTIC_1.0.10-5.3.0,cd,2,Filesystem
mesosphere/dcos-commons,b'ELASTIC_1.0.10-5.3.0,cp,1,Filesystem
mesosphere/dcos-commons,b'ELASTIC_1.0.10-5.3.0,sed,1,Filesystem
mesosphere/dcos-commons,b'HDFS_1.3.1-2.6.0-cdh5.9.1,curl,1,Dependencies
mesosphere/dcos-commons,b'HDFS_1.3.1-2.6.0-cdh5.9.1,rm,2,Filesystem
mesosphere/dcos-commons,b'HDFS_1.3.1-2.6.0-cdh5.9.1,tar,1,Filesystem
mesosphere/dcos-commons,b'HDFS_1.3.1-2.6.0-cdh5.9.1,mv,1,Filesystem
mesosphere/dcos-commons,b'HDFS_1.3.1-2.6.0-cdh5.9.1,go,2,Build/Execute
mesosphere/dcos-commons,b'HDFS_1.3.1-2.6.0-cdh5.9.1,pip3,1,Dependencies
mesosphere/dcos-commons,b'HDFS_1.3.1-2.6.0-cdh5.9.1,install,1,Build/Execute
mesosphere/dcos-commons,b'HDFS_1.3.1-2.6.0-cdh5.9.1,mkdir,4,Filesystem
mesosphere/dcos-commons,b'HDFS_1.3.1-2.6.0-cdh5.9.1,git,1,Dependencies
mesosphere/dcos-commons,b'HDFS_1.3.1-2.6.0-cdh5.9.1,cd,2,Filesystem
mesosphere/dcos-commons,b'HDFS_1.3.1-2.6.0-cdh5.9.1,cp,1,Filesystem
mesosphere/dcos-commons,b'HDFS_1.3.1-2.6.0-cdh5.9.1,sed,1,Filesystem
mesosphere/dcos-commons,b'KAFKA_1.1.22-0.10.1.0-beta,curl,1,Dependencies
mesosphere/dcos-commons,b'KAFKA_1.1.22-0.10.1.0-beta,rm,2,Filesystem
mesosphere/dcos-commons,b'KAFKA_1.1.22-0.10.1.0-beta,tar,1,Filesystem
mesosphere/dcos-commons,b'KAFKA_1.1.22-0.10.1.0-beta,mv,1,Filesystem
mesosphere/dcos-commons,b'KAFKA_1.1.22-0.10.1.0-beta,go,2,Build/Execute
mesosphere/dcos-commons,b'KAFKA_1.1.22-0.10.1.0-beta,pip3,1,Dependencies
mesosphere/dcos-commons,b'KAFKA_1.1.22-0.10.1.0-beta,install,1,Build/Execute
mesosphere/dcos-commons,b'KAFKA_1.1.22-0.10.1.0-beta,mkdir,4,Filesystem
mesosphere/dcos-commons,b'KAFKA_1.1.22-0.10.1.0-beta,git,1,Dependencies
mesosphere/dcos-commons,b'KAFKA_1.1.22-0.10.1.0-beta,cd,2,Filesystem
mesosphere/dcos-commons,b'KAFKA_1.1.22-0.10.1.0-beta,cp,1,Filesystem
mesosphere/dcos-commons,b'KAFKA_1.1.22-0.10.1.0-beta,sed,1,Filesystem
mesosphere/dcos-commons,b'0.16.0,curl,1,Dependencies
mesosphere/dcos-commons,b'0.16.0,rm,2,Filesystem
mesosphere/dcos-commons,b'0.16.0,tar,1,Filesystem
mesosphere/dcos-commons,b'0.16.0,mv,1,Filesystem
mesosphere/dcos-commons,b'0.16.0,go,2,Build/Execute
mesosphere/dcos-commons,b'0.16.0,pip3,1,Dependencies
mesosphere/dcos-commons,b'0.16.0,install,1,Build/Execute
mesosphere/dcos-commons,b'0.16.0,mkdir,4,Filesystem
mesosphere/dcos-commons,b'0.16.0,git,1,Dependencies
mesosphere/dcos-commons,b'0.16.0,cd,2,Filesystem
mesosphere/dcos-commons,b'0.16.0,cp,1,Filesystem
mesosphere/dcos-commons,b'0.16.0,sed,1,Filesystem
mesosphere/dcos-commons,b'CASSANDRA_1.0.28-3.0.13-beta,curl,1,Dependencies
mesosphere/dcos-commons,b'CASSANDRA_1.0.28-3.0.13-beta,rm,2,Filesystem
mesosphere/dcos-commons,b'CASSANDRA_1.0.28-3.0.13-beta,tar,1,Filesystem
mesosphere/dcos-commons,b'CASSANDRA_1.0.28-3.0.13-beta,mv,1,Filesystem
mesosphere/dcos-commons,b'CASSANDRA_1.0.28-3.0.13-beta,go,2,Build/Execute
mesosphere/dcos-commons,b'CASSANDRA_1.0.28-3.0.13-beta,pip3,1,Dependencies
mesosphere/dcos-commons,b'CASSANDRA_1.0.28-3.0.13-beta,install,1,Build/Execute
mesosphere/dcos-commons,b'CASSANDRA_1.0.28-3.0.13-beta,mkdir,4,Filesystem
mesosphere/dcos-commons,b'CASSANDRA_1.0.28-3.0.13-beta,git,1,Dependencies
mesosphere/dcos-commons,b'CASSANDRA_1.0.28-3.0.13-beta,cd,2,Filesystem
mesosphere/dcos-commons,b'CASSANDRA_1.0.28-3.0.13-beta,cp,1,Filesystem
mesosphere/dcos-commons,b'CASSANDRA_1.0.28-3.0.13-beta,sed,1,Filesystem
mesosphere/dcos-commons,b'HDFS_1.3.2-2.6.0-cdh5.9.1-beta,curl,1,Dependencies
mesosphere/dcos-commons,b'HDFS_1.3.2-2.6.0-cdh5.9.1-beta,rm,2,Filesystem
mesosphere/dcos-commons,b'HDFS_1.3.2-2.6.0-cdh5.9.1-beta,tar,1,Filesystem
mesosphere/dcos-commons,b'HDFS_1.3.2-2.6.0-cdh5.9.1-beta,mv,1,Filesystem
mesosphere/dcos-commons,b'HDFS_1.3.2-2.6.0-cdh5.9.1-beta,go,2,Build/Execute
mesosphere/dcos-commons,b'HDFS_1.3.2-2.6.0-cdh5.9.1-beta,pip3,1,Dependencies
mesosphere/dcos-commons,b'HDFS_1.3.2-2.6.0-cdh5.9.1-beta,install,1,Build/Execute
