repos,repo_version,option,option_count,category
mesosphere/dcos-commons,b'ELASTIC_1.0.6-5.2.2,go,2,Build/Execute
mesosphere/dcos-commons,b'ELASTIC_1.0.6-5.2.2,pip3,1,Dependencies
mesosphere/dcos-commons,b'ELASTIC_1.0.6-5.2.2,install,1,Build/Execute
mesosphere/dcos-commons,b'ELASTIC_1.0.6-5.2.2,mkdir,4,Filesystem
mesosphere/dcos-commons,b'ELASTIC_1.0.6-5.2.2,git,1,Dependencies
mesosphere/dcos-commons,b'ELASTIC_1.0.6-5.2.2,cd,2,Filesystem
mesosphere/dcos-commons,b'ELASTIC_1.0.6-5.2.2,cp,1,Filesystem
mesosphere/dcos-commons,b'ELASTIC_1.0.6-5.2.2,sed,1,Filesystem
mesosphere/dcos-commons,b'ELASTIC_1.0.7-5.2.2,curl,1,Dependencies
mesosphere/dcos-commons,b'ELASTIC_1.0.7-5.2.2,rm,2,Filesystem
mesosphere/dcos-commons,b'ELASTIC_1.0.7-5.2.2,tar,1,Filesystem
mesosphere/dcos-commons,b'ELASTIC_1.0.7-5.2.2,mv,1,Filesystem
mesosphere/dcos-commons,b'ELASTIC_1.0.7-5.2.2,go,2,Build/Execute
mesosphere/dcos-commons,b'ELASTIC_1.0.7-5.2.2,pip3,1,Dependencies
mesosphere/dcos-commons,b'ELASTIC_1.0.7-5.2.2,install,1,Build/Execute
mesosphere/dcos-commons,b'ELASTIC_1.0.7-5.2.2,mkdir,4,Filesystem
mesosphere/dcos-commons,b'ELASTIC_1.0.7-5.2.2,git,1,Dependencies
mesosphere/dcos-commons,b'ELASTIC_1.0.7-5.2.2,cd,2,Filesystem
mesosphere/dcos-commons,b'ELASTIC_1.0.7-5.2.2,cp,1,Filesystem
mesosphere/dcos-commons,b'ELASTIC_1.0.7-5.2.2,sed,1,Filesystem
mesosphere/dcos-commons,b'HDFS_1.2.0-2.6.0-cdh5.9.1,curl,1,Dependencies
mesosphere/dcos-commons,b'HDFS_1.2.0-2.6.0-cdh5.9.1,rm,2,Filesystem
mesosphere/dcos-commons,b'HDFS_1.2.0-2.6.0-cdh5.9.1,tar,1,Filesystem
mesosphere/dcos-commons,b'HDFS_1.2.0-2.6.0-cdh5.9.1,mv,1,Filesystem
mesosphere/dcos-commons,b'HDFS_1.2.0-2.6.0-cdh5.9.1,go,2,Build/Execute
mesosphere/dcos-commons,b'HDFS_1.2.0-2.6.0-cdh5.9.1,pip3,1,Dependencies
mesosphere/dcos-commons,b'HDFS_1.2.0-2.6.0-cdh5.9.1,install,1,Build/Execute
mesosphere/dcos-commons,b'HDFS_1.2.0-2.6.0-cdh5.9.1,mkdir,4,Filesystem
mesosphere/dcos-commons,b'HDFS_1.2.0-2.6.0-cdh5.9.1,git,1,Dependencies
mesosphere/dcos-commons,b'HDFS_1.2.0-2.6.0-cdh5.9.1,cd,2,Filesystem
mesosphere/dcos-commons,b'HDFS_1.2.0-2.6.0-cdh5.9.1,cp,1,Filesystem
mesosphere/dcos-commons,b'HDFS_1.2.0-2.6.0-cdh5.9.1,sed,1,Filesystem
mesosphere/dcos-commons,b'0.13.0,curl,1,Dependencies
mesosphere/dcos-commons,b'0.13.0,rm,2,Filesystem
mesosphere/dcos-commons,b'0.13.0,tar,1,Filesystem
mesosphere/dcos-commons,b'0.13.0,mv,1,Filesystem
mesosphere/dcos-commons,b'0.13.0,go,2,Build/Execute
mesosphere/dcos-commons,b'0.13.0,pip3,1,Dependencies
mesosphere/dcos-commons,b'0.13.0,install,1,Build/Execute
mesosphere/dcos-commons,b'0.13.0,mkdir,4,Filesystem
mesosphere/dcos-commons,b'0.13.0,git,1,Dependencies
mesosphere/dcos-commons,b'0.13.0,cd,2,Filesystem
mesosphere/dcos-commons,b'0.13.0,cp,1,Filesystem
mesosphere/dcos-commons,b'0.13.0,sed,1,Filesystem
mesosphere/dcos-commons,b'0.13.1,curl,1,Dependencies
mesosphere/dcos-commons,b'0.13.1,rm,2,Filesystem
mesosphere/dcos-commons,b'0.13.1,tar,1,Filesystem
mesosphere/dcos-commons,b'0.13.1,mv,1,Filesystem
mesosphere/dcos-commons,b'0.13.1,go,2,Build/Execute
mesosphere/dcos-commons,b'0.13.1,pip3,1,Dependencies
mesosphere/dcos-commons,b'0.13.1,install,1,Build/Execute
mesosphere/dcos-commons,b'0.13.1,mkdir,4,Filesystem
mesosphere/dcos-commons,b'0.13.1,git,1,Dependencies
mesosphere/dcos-commons,b'0.13.1,cd,2,Filesystem
mesosphere/dcos-commons,b'0.13.1,cp,1,Filesystem
mesosphere/dcos-commons,b'0.13.1,sed,1,Filesystem
mesosphere/dcos-commons,b'0.13.2,curl,1,Dependencies
mesosphere/dcos-commons,b'0.13.2,rm,2,Filesystem
mesosphere/dcos-commons,b'0.13.2,tar,1,Filesystem
mesosphere/dcos-commons,b'0.13.2,mv,1,Filesystem
mesosphere/dcos-commons,b'0.13.2,go,2,Build/Execute
mesosphere/dcos-commons,b'0.13.2,pip3,1,Dependencies
mesosphere/dcos-commons,b'0.13.2,install,1,Build/Execute
mesosphere/dcos-commons,b'0.13.2,mkdir,4,Filesystem
mesosphere/dcos-commons,b'0.13.2,git,1,Dependencies
mesosphere/dcos-commons,b'0.13.2,cd,2,Filesystem
mesosphere/dcos-commons,b'0.13.2,cp,1,Filesystem
mesosphere/dcos-commons,b'0.13.2,sed,1,Filesystem
mesosphere/dcos-commons,b'0.13.3,curl,1,Dependencies
mesosphere/dcos-commons,b'0.13.3,rm,2,Filesystem
mesosphere/dcos-commons,b'0.13.3,tar,1,Filesystem
mesosphere/dcos-commons,b'0.13.3,mv,1,Filesystem
mesosphere/dcos-commons,b'0.13.3,go,2,Build/Execute
mesosphere/dcos-commons,b'0.13.3,pip3,1,Dependencies
mesosphere/dcos-commons,b'0.13.3,install,1,Build/Execute
mesosphere/dcos-commons,b'0.13.3,mkdir,4,Filesystem
