repos,repo_version,instructions,instructions_count
mesosphere/dcos-commons,b'elastic-1.0.16-5.5.1-beta,FROM,1
mesosphere/dcos-commons,b'elastic-1.0.16-5.5.1-beta,CMD,1
mesosphere/dcos-commons,b'elastic-2.0.0-5.5.1,FROM,1
mesosphere/dcos-commons,b'elastic-2.0.0-5.5.1,COPY,17
mesosphere/dcos-commons,b'elastic-2.0.0-5.5.1,ENV,6
mesosphere/dcos-commons,b'elastic-2.0.0-5.5.1,RUN,10
mesosphere/dcos-commons,b'elastic-2.0.0-5.5.1,FROM,1
mesosphere/dcos-commons,b'elastic-2.0.0-5.5.1,CMD,1
mesosphere/dcos-commons,b'hdfs-1.3.4-2.6.0-cdh5.11.0-beta,FROM,1
mesosphere/dcos-commons,b'hdfs-1.3.4-2.6.0-cdh5.11.0-beta,COPY,17
mesosphere/dcos-commons,b'hdfs-1.3.4-2.6.0-cdh5.11.0-beta,ENV,6
mesosphere/dcos-commons,b'hdfs-1.3.4-2.6.0-cdh5.11.0-beta,RUN,10
mesosphere/dcos-commons,b'hdfs-1.3.4-2.6.0-cdh5.11.0-beta,FROM,1
mesosphere/dcos-commons,b'hdfs-1.3.4-2.6.0-cdh5.11.0-beta,CMD,1
mesosphere/dcos-commons,b'hdfs-2.0.0-2.6.0-cdh5.9.1,FROM,1
mesosphere/dcos-commons,b'hdfs-2.0.0-2.6.0-cdh5.9.1,COPY,17
mesosphere/dcos-commons,b'hdfs-2.0.0-2.6.0-cdh5.9.1,ENV,6
mesosphere/dcos-commons,b'hdfs-2.0.0-2.6.0-cdh5.9.1,RUN,10
mesosphere/dcos-commons,b'hdfs-2.0.0-2.6.0-cdh5.9.1,FROM,1
mesosphere/dcos-commons,b'hdfs-2.0.0-2.6.0-cdh5.9.1,CMD,1
mesosphere/dcos-commons,b'kafka-1.1.27-0.11.0-beta,FROM,1
mesosphere/dcos-commons,b'kafka-1.1.27-0.11.0-beta,COPY,17
mesosphere/dcos-commons,b'kafka-1.1.27-0.11.0-beta,ENV,6
mesosphere/dcos-commons,b'kafka-1.1.27-0.11.0-beta,RUN,10
mesosphere/dcos-commons,b'kafka-1.1.27-0.11.0-beta,FROM,1
mesosphere/dcos-commons,b'kafka-1.1.27-0.11.0-beta,CMD,1
mesosphere/dcos-commons,b'kafka-2.0.0-0.11.0,FROM,1
mesosphere/dcos-commons,b'kafka-2.0.0-0.11.0,COPY,17
mesosphere/dcos-commons,b'kafka-2.0.0-0.11.0,ENV,6
mesosphere/dcos-commons,b'kafka-2.0.0-0.11.0,RUN,10
mesosphere/dcos-commons,b'kafka-2.0.0-0.11.0,FROM,1
mesosphere/dcos-commons,b'kafka-2.0.0-0.11.0,CMD,1
mesosphere/dcos-commons,b'kibana-1.0.16-5.5.1-beta,FROM,1
mesosphere/dcos-commons,b'kibana-1.0.16-5.5.1-beta,COPY,17
mesosphere/dcos-commons,b'kibana-1.0.16-5.5.1-beta,ENV,6
mesosphere/dcos-commons,b'kibana-1.0.16-5.5.1-beta,RUN,10
mesosphere/dcos-commons,b'kibana-1.0.16-5.5.1-beta,FROM,1
mesosphere/dcos-commons,b'kibana-1.0.16-5.5.1-beta,CMD,1
mesosphere/dcos-commons,b'kibana-2.0.0-5.5.1,FROM,1
mesosphere/dcos-commons,b'kibana-2.0.0-5.5.1,COPY,17
mesosphere/dcos-commons,b'kibana-2.0.0-5.5.1,ENV,6
mesosphere/dcos-commons,b'kibana-2.0.0-5.5.1,RUN,10
mesosphere/dcos-commons,b'kibana-2.0.0-5.5.1,FROM,1
mesosphere/dcos-commons,b'kibana-2.0.0-5.5.1,CMD,1
mesosphere/dcos-commons,b'hdfs-2.0.0-2.6.0-cdh5.11.0,FROM,1
mesosphere/dcos-commons,b'hdfs-2.0.0-2.6.0-cdh5.11.0,COPY,17
mesosphere/dcos-commons,b'hdfs-2.0.0-2.6.0-cdh5.11.0,ENV,6
mesosphere/dcos-commons,b'hdfs-2.0.0-2.6.0-cdh5.11.0,RUN,10
mesosphere/dcos-commons,b'hdfs-2.0.0-2.6.0-cdh5.11.0,FROM,1
mesosphere/dcos-commons,b'hdfs-2.0.0-2.6.0-cdh5.11.0,CMD,1
mesosphere/dcos-commons,b'cassandra-2.0.0-3.0.14,FROM,1
mesosphere/dcos-commons,b'cassandra-2.0.0-3.0.14,COPY,17
mesosphere/dcos-commons,b'cassandra-2.0.0-3.0.14,ENV,6
mesosphere/dcos-commons,b'cassandra-2.0.0-3.0.14,RUN,10
mesosphere/dcos-commons,b'cassandra-2.0.0-3.0.14,FROM,1
mesosphere/dcos-commons,b'cassandra-2.0.0-3.0.14,CMD,1
mesosphere/dcos-commons,b'0.30.1,FROM,1
mesosphere/dcos-commons,b'0.30.1,COPY,17
mesosphere/dcos-commons,b'0.30.1,ENV,6
mesosphere/dcos-commons,b'0.30.1,RUN,10
