repos,repo_version,instructions,instructions_count
mesosphere/dcos-commons,b'0.13.4,ENV,6
mesosphere/dcos-commons,b'0.13.4,RUN,10
mesosphere/dcos-commons,b'0.13.4,FROM,1
mesosphere/dcos-commons,b'0.13.4,CMD,1
mesosphere/dcos-commons,b'1.1.21-0.10.1.0-beta,FROM,1
mesosphere/dcos-commons,b'1.1.21-0.10.1.0-beta,COPY,17
mesosphere/dcos-commons,b'1.1.21-0.10.1.0-beta,ENV,6
mesosphere/dcos-commons,b'1.1.21-0.10.1.0-beta,RUN,10
mesosphere/dcos-commons,b'1.1.21-0.10.1.0-beta,FROM,1
mesosphere/dcos-commons,b'1.1.21-0.10.1.0-beta,CMD,1
mesosphere/dcos-commons,b'0.14.0,FROM,1
mesosphere/dcos-commons,b'0.14.0,COPY,17
mesosphere/dcos-commons,b'0.14.0,ENV,6
mesosphere/dcos-commons,b'0.14.0,RUN,10
mesosphere/dcos-commons,b'0.14.0,FROM,1
mesosphere/dcos-commons,b'0.14.0,CMD,1
mesosphere/dcos-commons,b'HDFS_1.3.0-2.6.0-cdh5.9.1,FROM,1
mesosphere/dcos-commons,b'HDFS_1.3.0-2.6.0-cdh5.9.1,COPY,17
mesosphere/dcos-commons,b'HDFS_1.3.0-2.6.0-cdh5.9.1,ENV,6
mesosphere/dcos-commons,b'HDFS_1.3.0-2.6.0-cdh5.9.1,RUN,10
mesosphere/dcos-commons,b'HDFS_1.3.0-2.6.0-cdh5.9.1,FROM,1
mesosphere/dcos-commons,b'HDFS_1.3.0-2.6.0-cdh5.9.1,CMD,1
mesosphere/dcos-commons,b'ELASTIC_1.0.9-5.3.0,FROM,1
mesosphere/dcos-commons,b'ELASTIC_1.0.9-5.3.0,COPY,17
mesosphere/dcos-commons,b'ELASTIC_1.0.9-5.3.0,ENV,6
mesosphere/dcos-commons,b'ELASTIC_1.0.9-5.3.0,RUN,10
mesosphere/dcos-commons,b'ELASTIC_1.0.9-5.3.0,FROM,1
mesosphere/dcos-commons,b'ELASTIC_1.0.9-5.3.0,CMD,1
mesosphere/dcos-commons,b'CASSANDRA_1.0.26-3.0.10,FROM,1
mesosphere/dcos-commons,b'CASSANDRA_1.0.26-3.0.10,COPY,17
mesosphere/dcos-commons,b'CASSANDRA_1.0.26-3.0.10,ENV,6
mesosphere/dcos-commons,b'CASSANDRA_1.0.26-3.0.10,RUN,10
mesosphere/dcos-commons,b'CASSANDRA_1.0.26-3.0.10,FROM,1
mesosphere/dcos-commons,b'CASSANDRA_1.0.26-3.0.10,CMD,1
mesosphere/dcos-commons,b'0.15.0,FROM,1
mesosphere/dcos-commons,b'0.15.0,COPY,17
mesosphere/dcos-commons,b'0.15.0,ENV,6
mesosphere/dcos-commons,b'0.15.0,RUN,10
mesosphere/dcos-commons,b'0.15.0,FROM,1
mesosphere/dcos-commons,b'0.15.0,CMD,1
mesosphere/dcos-commons,b'CASSANDRA_1.0.27-3.0.10,FROM,1
mesosphere/dcos-commons,b'CASSANDRA_1.0.27-3.0.10,COPY,17
mesosphere/dcos-commons,b'CASSANDRA_1.0.27-3.0.10,ENV,6
mesosphere/dcos-commons,b'CASSANDRA_1.0.27-3.0.10,RUN,10
mesosphere/dcos-commons,b'CASSANDRA_1.0.27-3.0.10,FROM,1
mesosphere/dcos-commons,b'CASSANDRA_1.0.27-3.0.10,CMD,1
mesosphere/dcos-commons,b'ELASTIC_1.0.10-5.3.0,FROM,1
mesosphere/dcos-commons,b'ELASTIC_1.0.10-5.3.0,COPY,17
mesosphere/dcos-commons,b'ELASTIC_1.0.10-5.3.0,ENV,6
mesosphere/dcos-commons,b'ELASTIC_1.0.10-5.3.0,RUN,10
mesosphere/dcos-commons,b'ELASTIC_1.0.10-5.3.0,FROM,1
mesosphere/dcos-commons,b'ELASTIC_1.0.10-5.3.0,CMD,1
mesosphere/dcos-commons,b'HDFS_1.3.1-2.6.0-cdh5.9.1,FROM,1
mesosphere/dcos-commons,b'HDFS_1.3.1-2.6.0-cdh5.9.1,COPY,17
mesosphere/dcos-commons,b'HDFS_1.3.1-2.6.0-cdh5.9.1,ENV,6
mesosphere/dcos-commons,b'HDFS_1.3.1-2.6.0-cdh5.9.1,RUN,10
mesosphere/dcos-commons,b'HDFS_1.3.1-2.6.0-cdh5.9.1,FROM,1
mesosphere/dcos-commons,b'HDFS_1.3.1-2.6.0-cdh5.9.1,CMD,1
mesosphere/dcos-commons,b'KAFKA_1.1.22-0.10.1.0-beta,FROM,1
mesosphere/dcos-commons,b'KAFKA_1.1.22-0.10.1.0-beta,COPY,17
mesosphere/dcos-commons,b'KAFKA_1.1.22-0.10.1.0-beta,ENV,6
mesosphere/dcos-commons,b'KAFKA_1.1.22-0.10.1.0-beta,RUN,10
mesosphere/dcos-commons,b'KAFKA_1.1.22-0.10.1.0-beta,FROM,1
mesosphere/dcos-commons,b'KAFKA_1.1.22-0.10.1.0-beta,CMD,1
mesosphere/dcos-commons,b'0.16.0,FROM,1
mesosphere/dcos-commons,b'0.16.0,COPY,17
mesosphere/dcos-commons,b'0.16.0,ENV,6
mesosphere/dcos-commons,b'0.16.0,RUN,10
mesosphere/dcos-commons,b'0.16.0,FROM,1
mesosphere/dcos-commons,b'0.16.0,CMD,1
mesosphere/dcos-commons,b'CASSANDRA_1.0.28-3.0.13-beta,FROM,1
mesosphere/dcos-commons,b'CASSANDRA_1.0.28-3.0.13-beta,COPY,17
mesosphere/dcos-commons,b'CASSANDRA_1.0.28-3.0.13-beta,ENV,6
mesosphere/dcos-commons,b'CASSANDRA_1.0.28-3.0.13-beta,RUN,10
mesosphere/dcos-commons,b'CASSANDRA_1.0.28-3.0.13-beta,FROM,1
mesosphere/dcos-commons,b'CASSANDRA_1.0.28-3.0.13-beta,CMD,1
mesosphere/dcos-commons,b'HDFS_1.3.2-2.6.0-cdh5.9.1-beta,FROM,1
mesosphere/dcos-commons,b'HDFS_1.3.2-2.6.0-cdh5.9.1-beta,COPY,17
mesosphere/dcos-commons,b'HDFS_1.3.2-2.6.0-cdh5.9.1-beta,ENV,6
mesosphere/dcos-commons,b'HDFS_1.3.2-2.6.0-cdh5.9.1-beta,RUN,10
mesosphere/dcos-commons,b'HDFS_1.3.2-2.6.0-cdh5.9.1-beta,FROM,1
mesosphere/dcos-commons,b'HDFS_1.3.2-2.6.0-cdh5.9.1-beta,CMD,1
mesosphere/dcos-commons,b'KAFKA_1.1.23-0.10.1.0-beta,FROM,1
mesosphere/dcos-commons,b'KAFKA_1.1.23-0.10.1.0-beta,COPY,17
mesosphere/dcos-commons,b'KAFKA_1.1.23-0.10.1.0-beta,ENV,6
mesosphere/dcos-commons,b'KAFKA_1.1.23-0.10.1.0-beta,RUN,10
mesosphere/dcos-commons,b'KAFKA_1.1.23-0.10.1.0-beta,FROM,1
mesosphere/dcos-commons,b'KAFKA_1.1.23-0.10.1.0-beta,CMD,1
mesosphere/dcos-commons,b'0.17.0,FROM,1
mesosphere/dcos-commons,b'0.17.0,COPY,17
mesosphere/dcos-commons,b'0.17.0,ENV,6
mesosphere/dcos-commons,b'0.17.0,RUN,10
mesosphere/dcos-commons,b'0.17.0,FROM,1
mesosphere/dcos-commons,b'0.17.0,CMD,1
mesosphere/dcos-commons,b'kafka-1.1.24-0.10.1.0beta,FROM,1
mesosphere/dcos-commons,b'kafka-1.1.24-0.10.1.0beta,COPY,17
mesosphere/dcos-commons,b'kafka-1.1.24-0.10.1.0beta,ENV,6
mesosphere/dcos-commons,b'kafka-1.1.24-0.10.1.0beta,RUN,10
mesosphere/dcos-commons,b'kafka-1.1.24-0.10.1.0beta,FROM,1
mesosphere/dcos-commons,b'kafka-1.1.24-0.10.1.0beta,CMD,1
mesosphere/dcos-commons,b'hdfs-1.3.3-2.6.0-cdh5.9.1beta,FROM,1
